at,score,content
2022-03-02 15:37:40,2,"I left a 1 star review earlier but they called me so I raised them by 1 star for that. But only 1 because they are lost in their sea of rules and obviously there is not a single classA CDL driver in their whole climate controlled building because they have no idea what truck driving really is. Its getting a load to a customer, we are professionals doing the real work while they quarterback, critique, and ""matrix"" us-god what a word-from their 9 to 5 comfort."
2022-03-02 13:03:26,1,"Wont pay detention, wont pay TONU, will give a negative mark on your scorecard if you have to cancel a load due to THEM providing wrong load details, if they don't pay you correctly then accept that you will never see that money because they don't care at all. Doesn't matter how many times you contact them about issues like what I mentioned, they will just say ""we'll look into it"" but never do anything because they don't care about you unless the issue has to do with getting a load delivered."
2022-02-27 13:37:03,5,Perfect to use
2022-02-25 03:09:23,5,Good app
2022-02-25 01:47:17,5,"I've had one bad experience working with this broker but i guess life is not a bed of roses either, so to be fair i feel I must shine a light on their good side as well. Better rates than most competing on the same platforms. Easy to book loads on this app. Very friendly customer service. Best for small companies just starting out with a new authority, best of luck."
2022-02-24 18:19:19,2,"User friendly platform then most load boards , customer service is pretty good although uber takes a bit long to resolve issues like wrong pick #, wrong appointment time, etc. And rates are considerably low compared to other loadboards, and will see a pattern of the rates droppong after awhile. This why for 2 stars ...... if they had better competitive rates I would give 5 stars !🌟"
2022-02-21 20:14:51,1,"Literally zero loads, and I'm in a high freight area. I didn't even add any filters. What's going on? Is Uber Freight dead?"
2022-02-21 20:08:21,5,It works 👍
2022-02-21 14:59:06,3,"Uber freight isn't bad don't bid on a load because you'll screw yourself can't counter bid , lately they don't have much for loads and the rate has dropped considerably"
2022-02-18 04:09:54,1,Well the app is great....the brokerage is the worst bunch of scabs I have ever seen....I thought chr was bad but there loads pay twice as much as this con artist....also pray you don't have a problem with a load you will be talking to someone in the Philippines that knows nothing about trucking and isn't going to solve the problem ...also get ready to play there rate game...watch and watch ...I use them when I need a fill in load but that's it...we where pulling 200 loads a quarter..now appx 40
2022-02-16 09:50:05,5,Excellent looks and function on the app alot of good load's!
2022-02-15 17:03:31,5,"The rates have been great, and the pay is quick."
2022-02-11 15:49:09,5,Good 👍
2022-02-11 12:54:51,2,"The worst rates possible. Don't bother. They might have a decent rate once in a blue moon, but other brokers are usually much higher."
2022-02-11 11:47:06,5,Great app
2022-02-11 00:59:13,5,Very good app for work
2022-02-10 05:55:42,5,Very good
2022-02-09 19:00:48,4,Need more freight!!!!!
2022-02-09 15:07:13,5,Great team to work with.
2022-02-07 06:29:09,5,"Good rates, good driver support service. No complaints so far..."
2022-02-03 15:32:15,5,Good
2022-02-02 14:41:05,5,EXTREMELY SATISFIED
2022-02-01 16:23:10,1,How can both of my emails already been taken before i even began using the app?
2022-02-01 00:10:31,5,Support is great I've got no negative thing to say.
2022-01-30 14:53:18,5,Very Satisfied
2022-01-29 02:09:09,5,Works great
2022-01-28 22:42:34,4,New.But later
2022-01-28 09:10:49,1,I do not haul Uber afraid I have a new dispatcher and he did not know that he booked me a load and after I accepted it I found out it was Uber and true to form this load is terrible two pickups two deliveries so late in the day the deliveries are so early I do not believe this load is legally possible or it will ruin your whole next day I think they have fake reviews otherwise their rating would be very low every driver I know does not like Uber freight cheapest freight ever
2022-01-26 05:28:34,5,Easy & Convenient to use .
2022-01-25 14:02:37,2,When trying to select lower delivery radius (trip lenght) in settings is still showl loads with long distance over 300 miles even when I checked that long loads setting was turned off
2022-01-24 02:16:04,5,Very good app.
2022-01-24 01:03:44,3,It would be great if there is possibility to get work for Cargo Vans
2022-01-21 13:46:37,5,The best app for truck drivers IMO. App very easy to use
2022-01-19 18:13:51,5,A little bit cheaper than some .app is kool. You know when it pic up whenit delivers wher and when and what it pays. Up front. Dont have waste time calling on a load just to find out u cant make appt. Easy to plan ur week PEACE!!
2022-01-18 21:04:26,5,Very nice representative.
2022-01-18 17:45:27,3,Need to a better job at rates period.
2022-01-14 20:18:22,3,I can't find power only loads ever since I signed up.
2022-01-10 21:16:04,2,We do not have we were in the area it sucks maybe someday we will be able to have it
2022-01-09 23:56:49,1,Doesn't work.
2022-01-08 19:17:05,5,Very positive!!
2022-01-06 21:13:23,1,"The most rude and unprofessional support ever ! Please work on your so called 24/7 support ! It's a disaster, extremely bad English skills , and helpless"
2022-01-05 05:24:24,2,No power only moves in my area in Florida at all.
2022-01-04 01:36:25,5,"Very good company to work with,"
2021-12-31 17:45:47,1,"We have not been paid since 12/17/21. Not sure what's going on with them Everytime we call, we end up in a call center somewhere in Asia, where the operators will only give canned answers. We are owed for 5 loads at present. We have halted operations with Uber Freight until this is resolved."
2021-12-30 16:11:35,5,Outstanding
2021-12-23 17:08:34,5,Easy and Great app
2021-12-23 05:24:01,5,Straight.
2021-12-23 03:56:14,5,Awesome
2021-12-23 01:11:03,1,I've been on here for a month now and still can't see any load loads
2021-12-22 14:42:22,5,👍
2021-12-21 16:45:36,5,I love the process
2021-12-18 06:59:29,5,Great working with uber
